quarter,ct_pvt_fnl_cons_exp,ct_hh_cons,ct_dur_goods,gdp_val_mp,gdp_deflator,tot_emp,tot_hours,gov_fnl_cons_exp,ct_gcf,imports,exports
Q1-1980,426.625,426.625,58.025,2796500000000,0.4285889439,99862333.3333333,1818.8226988712,435400000000,690400000000,304300000000,268500000000
Q2-1980,427.225,427.225,52.975,2799900000000,0.4379908019,98953333.3333333,1814.4673420536,452200000000,654000000000,292600000000,277400000000
Q3-1980,441.925,441.925,56.35,2860000000000,0.4480721929,98899000,1810.7552378352,457500000000,629300000000,279200000000,284700000000
Q4-1980,458.85,458.85,59.05,2993500000000,0.4604534547,99498666.6666667,1807.95472124,474500000000,690300000000,299200000000,292500000000
Q1-1981,472.675,472.7,61.5,3131800000000,0.4719622647,100239000,1806.4066959554,489500000000,765800000000,319700000000,305500000000
Q2-1981,480.475,480.5,60.225,3167300000000,0.480819152,100800666.666667,1804.7699449006,503600000000,755300000000,322000000000,308500000000
Q3-1981,490.3,490.325,62.975,3261200000000,0.4894565429,100482000,1803.1865733074,509500000000,798100000000,309900000000,302300000000
Q4-1981,494.025,494.025,59.2,3283500000000,0.4986256853,100076666.666667,1801.6367858366,526900000000,795200000000,319400000000,304700000000
Q1-1982,503.6,503.6,61.6,3273800000000,0.5056061776,99708666.6666667,1799.3980291432,537200000000,738500000000,309500000000,293200000000
Q2-1982,510.275,510.275,62.3,3331300000000,0.5117047095,99745000,1799.3216659184,544400000000,750200000000,299100000000,294700000000
Q3-1982,522.3,522.3,63.025,3367100000000,0.519069495,99543333.3333333,1800.8987516204,557000000000,750600000000,309300000000,279600000000
Q4-1982,537.725,537.725,66.1,3407800000000,0.5248340546,99119666.6666667,1804.3815533181,573700000000,712800000000,294900000000,265300000000
Q1-1983,547.65,547.65,67.225,3480300000000,0.5290657019,99143000,1810.7932613178,584300000000,730000000000,295300000000,270700000000
Q2-1983,563.625,563.625,72.4,3583800000000,0.5326456906,99945000,1816.9487323755,593700000000,781100000000,318000000000,272500000000
